cpg_id,beta_value
cg05177932,0.9
cg05178136,0.63
cg05178192,0.9
cg05178226,0.16
cg05178234,0.88
cg05178518,0.01
cg05178576,0.1
cg05178604,0.06
cg05178734,0.21
cg05178839,0.69
cg05179038,0.04
cg05179045,0.92
cg05179172,0.86
cg05179499,0.85
cg05179501,0.93
cg05179529,0.01
cg05179569,0.82
cg05179645,0.94
cg05179659,0.07
cg05179757,0.96
cg05179846,0.13
cg05179880,0.06
cg05179986,0.95
cg05180121,0.01
cg05180153,0.05
cg05180182,0.77
cg05180206,0.93
cg05180443,0.07
cg05180471,0.02
cg05180522,0.9
cg05180560,0.01
cg05180717,0.49
cg05180847,0.02
cg05180856,0.47
cg05180859,0.03
cg05180985,0.09
cg05181025,0.02
cg05181041,0.13
cg05181186,0.01
cg05181212,0.85
cg05181221,0.01
cg05181279,0.66
cg05181282,0.12
cg05181301,0.94
cg05181322,0.08
cg05181397,0.84
cg05181516,0.9
cg05181784,0.08
cg05181927,0.94
cg05181941,0.81
cg05181989,0.94
cg05182249,0.18
cg05182265,0.37
cg05182393,0.95
cg05182416,0.72
cg05182418,0.99
cg05182503,0.85
cg05182555,0.1
cg05182912,0.92
cg05183226,0.71
cg05183229,0.02
cg05183271,0.88
cg05183369,0.91
cg05183567,0.89
cg05183668,0.95
cg05183671,0.77
cg05183927,0.75
cg05183931,0.09
cg05183966,0.67
cg05184311,0.67
cg05184372,0.76
cg05184377,0.22
cg05184394,0.54
cg05184395,0.94
cg05184456,0.25
cg05184586,0.99
cg05184607,0.81
cg05184636,0.06
cg05184729,0.83
cg05184767,0.92
cg05184843,0.74
cg05184882,0.96
cg05184917,0.03
cg05184938,0.14
cg05185019,0.89
cg05185021,0.87
cg05185038,0.59
cg05185040,0.34
cg05185311,0.93
cg05185364,0.81
cg05185584,0.95
cg05185634,0.51
cg05185738,0.96
cg05185784,0.57
cg05185926,0.18
cg05186186,0.1
cg05186188,0.95
cg05186311,0.12
cg05186320,0.28
cg05186375,0.12
cg05186455,0.86
cg05186509,0.91
cg05186522,0.04
cg05186666,0.04
cg05186704,0.98
cg05186755,0.01
cg05187154,0.87
cg05187155,0.96
cg05187193,0.74
cg05187549,0.85
cg05187583,0.97
cg05187797,0.95
cg05187826,0.93
cg05187833,0.18
cg05187965,0.59
cg05188158,0.01
cg05188268,0.88
cg05188358,0.99
cg05188448,0.85
cg05188549,0.07
cg05188837,0.54
cg05188948,0.68
cg05188959,0.84
cg05189127,0.6
cg05189242,0.24
cg05189253,0.97
cg05189281,0.89
cg05189291,0.01
cg05189517,0.99
cg05189570,0.88
cg05189667,0.91
cg05189804,0.7
cg05190096,0.17
cg05190233,0.91
cg05190315,0.09
cg05190533,0.01
cg05190557,0.04
cg05190577,0.06
cg05190718,0.76
cg05190790,0.71
cg05191006,0.03
cg05191076,0.03
cg05191175,0.14
cg05191217,0.98
cg05191264,0.9
cg05191313,0.65
cg05191397,0.08
cg05191454,0.08
cg05191488,0.89
cg05191655,0.29
cg05191700,0.01
cg05191729,0.01
cg05191792,0.07
cg05191824,0.02
cg05191825,0.01
cg05191879,0.04
cg05191891,0.91
cg05191919,0.47
cg05191928,0.05
cg05192145,0.98
cg05192269,0.01
cg05192293,0.11
cg05192452,0.09
cg05192538,0.91
cg05192831,0.57
cg05193116,0.01
cg05193211,0.07
cg05193369,0.21
cg05193407,0.89
cg05193430,0.08
cg05193435,0.54
cg05193449,0.09
cg05193470,0.2
cg05193538,0.36
cg05193570,0.06
cg05193662,0.97
cg05193832,0.96
cg05194250,0.07
cg05194316,0.99
cg05194412,0.53
cg05194426,0.53
cg05194447,0.01
cg05194498,0.94
cg05194509,0.9
cg05194545,0.96
cg05194552,0.87
cg05194618,0.13
cg05194636,0.96
cg05194726,0.36
cg05194808,0.72
cg05194810,0.12
cg05195017,0.21
cg05195050,0.9
cg05195067,0.04
cg05195129,0.91
cg05195235,0.01
cg05195247,0.06
cg05195266,0.93
cg05195378,0.01
cg05195393,0.02
cg05195452,0.86
cg05195566,0.87
cg05195612,0.04
cg05195700,0.96
cg05195750,0.06
cg05195756,0.01
cg05196046,0.4
cg05196076,0.88
cg05196101,0.1
cg05196187,0.7
cg05196487,0.93
cg05196610,0.88
cg05196820,0.01
cg05196905,0.21
cg05197036,0.89
cg05197062,0.11
cg05197133,0.92
cg05197164,0.88
cg05197191,0.05
cg05197323,0.04
cg05197447,0.15
cg05197551,0.93
cg05197560,0.01
cg05197625,0.07
cg05197660,0.95
cg05197667,0.96
cg05197690,0.03
cg05197962,0.11
cg05198093,0.93
cg05198094,0.09
cg05198244,0.86
cg05198297,0.8
cg05198596,0.01
cg05198733,0.08
cg05198819,0.69
cg05198834,0.06
cg05198900,0.93
cg05198938,0.77
cg05198963,0.83
cg05198969,0.91
cg05199362,0.94
cg05199503,0.08
cg05199874,0.03
cg05199904,0.9
cg05199950,0.01
cg05200037,0.27
cg05200040,0.08
cg05200057,0.83
cg05200250,0.91
cg05200311,0.12
cg05200313,0.37
cg05200373,0.91
cg05200380,0.07
cg05200540,0.12
cg05200610,0.01
cg05200614,0.93
cg05200628,0.06
cg05200715,0.64
cg05200925,0.03
cg05201080,0.94
cg05201300,0.7
cg05201477,0.02
cg05201673,0.08
cg05201708,0.9
cg05201784,0.02
cg05201789,0.89
cg05201956,0.01
cg05201970,0.15
cg05202068,0.9
cg05202073,0.91
cg05202084,0.04
cg05202136,0.64
cg05202204,0.42
cg05202347,0.89
cg05202389,0.95
cg05202407,0.01
cg05202424,0.89
cg05202574,0.94
cg05202616,0.83
cg05202654,0.59
cg05202720,0.3
cg05202729,0.53
cg05202804,0.07
cg05202822,0.96
cg05202985,0.71
cg05203206,0.94
cg05203213,0.4
cg05203217,0.91
cg05203346,0.89
cg05203405,0.84
cg05203615,0.01
cg05203659,0.04
cg05203776,0.22
cg05203809,0.93
cg05203855,0.17
cg05203875,0.92
cg05203877,0.11
cg05203985,0.89
cg05204104,0.53
cg05204123,0.3
cg05204310,0.18
cg05204315,0.74
cg05204532,0.49
cg05204566,0.94
cg05204798,0.08
cg05204898,0.92
cg05204981,0.86
cg05205152,0.01
cg05205299,0.88
cg05205563,0.08
cg05205664,0.29
cg05205736,0.24
cg05205842,0.68
cg05205932,0.81
cg05206120,0.93
cg05206183,0.89
cg05206276,0.8
cg05206559,0.2
cg05206633,0.63
cg05206661,0.93
cg05206690,0.01
cg05206701,0.87
cg05206762,0.09
cg05206832,0.85
cg05206840,0.16
cg05206884,0.03
cg05206910,0.07
cg05207048,0.25
cg05207067,0.87
cg05207068,0.86
cg05207121,0.01
cg05207184,0.01
cg05207227,0.15
cg05207253,0.01
cg05207415,0.13
cg05207465,0.64
cg05207466,0.06
cg05207495,0.13
cg05207558,0.88
cg05207583,0.83
cg05207637,0.71
cg05207834,0.03
cg05207870,0.95
cg05207943,0.41
cg05208050,0.89
cg05208056,0.89
cg05208153,0.81
cg05208178,0.34
cg05208237,0.08
cg05208249,0.83
cg05208364,0.89
cg05208381,0.1
cg05208396,0.57
cg05208399,0.99
cg05208400,0.1
cg05208416,0.7
cg05208423,0.05
cg05208483,0.88
cg05208581,0.02
cg05208605,0.21
cg05208662,0.89
cg05208878,0.42
cg05209330,0.71
cg05209463,0.09
cg05209483,0.17
cg05209506,0.08
cg05209514,0.54
cg05209515,0.85
cg05209518,0.06
cg05209525,0.99
cg05209527,0.1
cg05209534,0.05
cg05209584,0.17
cg05209645,0.01
cg05209768,0.93
cg05209770,0.01
cg05209793,0.07
cg05209814,0.07
cg05209917,0.93
cg05210131,0.05
cg05210258,0.16
cg05210380,0.91
cg05210480,0.9
cg05210497,0.45
cg05210501,0.28
cg05210526,0.08
cg05210558,0.91
cg05210606,0.88
cg05210612,0.88
cg05210615,0.5
cg05210671,0.14
cg05210798,0.1
cg05210804,0.28
cg05210886,0.16
cg05210904,0.46
cg05210910,0.01
cg05211050,0.95
cg05211057,0.08
cg05211068,0.93
cg05211192,0.91
cg05211267,0.98
cg05211356,0.9
cg05211480,0.57
cg05211640,0.01
cg05211642,0.96
cg05211662,0.26
cg05211768,0.13
cg05211790,0.9
cg05211836,0.04
cg05212138,0.77
cg05212176,0.03
cg05212260,0.86
cg05212282,0.03
cg05212323,0.95
cg05212349,0.26
cg05212460,0.74
cg05212464,0.39
cg05212510,0.9
cg05212802,0.12
cg05213116,0.82
cg05213296,0.24
cg05213387,0.96
cg05213609,0.17
cg05213654,0.86
cg05213661,0.2
cg05213896,0.15
cg05214042,0.04
cg05214088,0.62
cg05214125,0.01
cg05214130,0.94
cg05214151,0.07
cg05214218,0.02
cg05214235,0.28
cg05214390,0.02
cg05214404,0.12
cg05214427,0.86
cg05214453,0.01
cg05214460,0.45
cg05214511,0.88
cg05214546,0.05
cg05214676,0.82
cg05214685,0.16
cg05214690,0.02
cg05214874,0.9
cg05215272,0.38
cg05215304,0.88
cg05215420,0.89
cg05215424,0.06
cg05215536,0.02
cg05215575,0.73
cg05215637,0.07
cg05215649,0.84
cg05215748,0.93
cg05215767,0.11
cg05215806,0.12
cg05215925,0.2
cg05215994,0.84
cg05216029,0.89
cg05216056,0.63
cg05216141,0.12
cg05216211,0.96
cg05216221,0.94
cg05216501,0.07
cg05216536,0.95
cg05216542,0.73
cg05216730,0.01
cg05216814,0.15
cg05216862,0.01
cg05217397,0.93
cg05217597,0.05
cg05217755,0.1
cg05217927,0.62
cg05217962,0.03
cg05218035,0.74
cg05218205,0.96
cg05218245,0.81
cg05218283,0.08
cg05218311,0.12
cg05218346,0.02
cg05218357,0.0
cg05218375,0.15
cg05218490,0.08
cg05218653,0.99
cg05218678,0.74
cg05218696,0.91
cg05218782,0.95
cg05218882,0.97
cg05218976,0.14
cg05219131,0.1
cg05219423,0.88
cg05219445,0.29
cg05219493,0.77
cg05219517,0.02
cg05219593,0.31
cg05219684,0.12
cg05219726,0.9
cg05219900,0.05
cg05219996,0.02
cg05220083,0.87
cg05220090,0.89
cg05220114,0.73
cg05220280,0.73
cg05220442,0.62
cg05220510,0.87
cg05220534,0.91
cg05220599,0.78
cg05220630,0.71
cg05220857,0.89
cg05221057,0.07
cg05221167,0.24
cg05221326,0.78
cg05221455,0.24
cg05221465,0.85
cg05221544,0.02
cg05221664,0.16
cg05221748,0.15
cg05221875,0.17
cg05222216,0.91
cg05222243,0.82
cg05222347,0.06
cg05222604,0.89
cg05222671,0.74
cg05222840,0.01
cg05222924,0.19
cg05222958,0.47
cg05222982,0.15
cg05222986,0.08
cg05222995,0.12
cg05223100,0.85
cg05223146,0.93
cg05223158,0.86
cg05223210,0.67
cg05223251,0.95
cg05223346,0.76
cg05223392,0.79
cg05223441,0.83
cg05223459,0.81
cg05223507,0.98
cg05223604,0.17
cg05223638,0.9
cg05223720,0.08
cg05223847,0.09
cg05223897,0.82
cg05224015,0.3
cg05224126,0.99
cg05224385,0.14
cg05224498,0.81
cg05224573,0.05
cg05224659,0.88
cg05224662,0.99
cg05224705,0.06
cg05224707,0.08
cg05224741,0.02
cg05224804,0.89
cg05224827,0.1
cg05224922,0.93
cg05224984,0.08
cg05224998,0.01
cg05225012,0.9
cg05225038,0.99
cg05225062,0.03
cg05225311,0.23
cg05225390,0.1
cg05225404,0.92
cg05225439,0.09
cg05225461,0.79
cg05225549,0.09
cg05225593,0.9
cg05225634,0.81
cg05225684,0.47
cg05225883,0.33
cg05225967,0.93
cg05225996,0.49
cg05226008,0.2
cg05226019,0.06
cg05226043,0.96
cg05226061,0.05
cg05226125,0.74
cg05226168,0.09
cg05226292,0.08
cg05226322,0.93
cg05226323,0.05
cg05226335,0.49
cg05226462,0.47
cg05226466,0.95
cg05226518,0.91
cg05226558,0.75
cg05226607,0.85
cg05226685,0.96
cg05226707,0.03
cg05226740,0.9
cg05226805,0.94
cg05226926,0.02
cg05226932,0.14
cg05226959,0.92
cg05226967,0.47
cg05227055,0.27
cg05227078,0.15
cg05227131,0.2
cg05227215,0.96
cg05227343,0.93
cg05227350,0.29
cg05227434,0.06
cg05227549,0.04
cg05227556,0.87
cg05227616,0.13
cg05227655,0.08
cg05227721,0.95
cg05227773,0.92
cg05227963,0.13
cg05228186,0.83
cg05228196,0.93
cg05228244,0.1
cg05228284,0.05
cg05228295,0.13
cg05228338,0.58
cg05228359,0.27
cg05228361,0.76
cg05228379,0.01
cg05228404,0.13
cg05228408,0.46
cg05228564,0.93
cg05228573,0.94
cg05228717,0.24
cg05228735,0.07
cg05228738,0.04
cg05228802,0.12
cg05228945,0.89
cg05228964,0.65
cg05229035,0.78
cg05229229,0.7
cg05229236,0.06
cg05229355,0.17
cg05229362,0.84
cg05229381,0.94
cg05229416,0.65
cg05229450,0.95
cg05229598,0.95
cg05229649,0.99
cg05229723,0.94
cg05229802,0.91
cg05229803,0.51
cg05229898,0.06
cg05229931,0.95
cg05229989,0.71
cg05230316,0.98
cg05230389,0.93
cg05230392,0.83
cg05230511,0.92
cg05230522,0.89
cg05230553,0.08
cg05230567,0.37
cg05230647,0.02
cg05230759,0.05
cg05230816,0.94
cg05230854,0.96
cg05230888,0.08
cg05230936,0.94
cg05230977,0.99
cg05231029,0.93
cg05231226,0.83
cg05231332,0.79
cg05231509,0.06
cg05231542,0.82
cg05231821,0.01
cg05231837,0.9
cg05231888,0.07
cg05231930,0.96
cg05231970,0.92
cg05232016,0.16
cg05232067,0.1
cg05232081,0.94
cg05232118,0.9
cg05232207,0.9
cg05232211,0.92
cg05232215,0.38
cg05232274,0.12
cg05232479,0.05
cg05232496,0.89
cg05232694,0.67
cg05232708,0.73
cg05232802,0.12
cg05232852,0.97
cg05232853,0.12
cg05232889,0.76
cg05233047,0.84
cg05233050,0.83
cg05233079,0.95
cg05233128,0.99
cg05233155,0.74
cg05233288,0.89
cg05233310,0.28
cg05233311,0.01
cg05233324,0.47
cg05233373,0.88
cg05233515,0.05
cg05233622,0.14
cg05233629,0.05
cg05233674,0.06
cg05233816,0.87
cg05233877,0.94
cg05233899,0.28
cg05233946,0.97
cg05234035,0.28
cg05234135,0.02
cg05234151,0.8
cg05234169,0.05
cg05234326,0.11
cg05234415,0.79
cg05234552,0.35
cg05234599,0.87
cg05234760,0.04
cg05234958,0.9
cg05235143,0.02
cg05235151,0.89
cg05235171,0.79
cg05235192,0.15
cg05235248,0.98
cg05235344,0.71
cg05235363,0.97
cg05235392,0.05
cg05235525,0.54
cg05235540,0.81
cg05235610,0.92
cg05235761,0.16
cg05235884,0.87
cg05236037,0.07
cg05236348,0.91
cg05236391,0.09
cg05236418,0.07
cg05236446,0.08
cg05236474,0.02
cg05236677,0.15
cg05236705,0.91
cg05236720,0.57
cg05236731,0.86
cg05236768,0.99
cg05236879,0.06
cg05236941,0.84
cg05236960,0.94
cg05236965,0.06
cg05236972,0.22
cg05237001,0.01
cg05237014,0.11
cg05237015,0.55
cg05237023,0.06
cg05237114,0.73
cg05237185,0.09
cg05237360,0.87
cg05237436,0.42
cg05237485,0.2
cg05237503,0.93
cg05237543,0.06
cg05237640,0.9
cg05237641,0.14
cg05237820,0.12
cg05237932,0.01
cg05238069,0.2
cg05238270,0.96
cg05238276,0.93
cg05238288,0.06
cg05238375,0.13
cg05238386,0.92
cg05238517,0.09
cg05238530,0.04
cg05238553,0.89
cg05238606,0.92
cg05238695,0.91
cg05238741,0.08
cg05238767,0.07
cg05238769,0.05
cg05238782,0.91
cg05238812,0.02
cg05238905,0.01
cg05238917,0.25
cg05238918,0.96
cg05238976,0.93
cg05239158,0.93
cg05239225,0.5
cg05239308,0.13
cg05239310,0.07
cg05239311,0.04
cg05239609,0.94
cg05239771,0.91
cg05239790,0.12
cg05239791,0.01
cg05239811,0.79
cg05239956,0.08
cg05240017,0.04
cg05240166,0.43
cg05240178,0.64
cg05240267,0.92
cg05240381,0.05
cg05240479,0.03
cg05240570,0.16
cg05240610,0.8
cg05240712,0.94
cg05240760,0.88
cg05240948,0.81
cg05240982,0.91
cg05241015,0.23
cg05241091,0.92
cg05241194,0.06
cg05241265,0.87
cg05241277,0.45
cg05241355,0.1
cg05241406,0.92
cg05241423,0.03
cg05241470,0.09
cg05241536,0.46
cg05241571,0.83
cg05241586,0.89
cg05241732,0.58
cg05241828,0.99
cg05241830,0.87
cg05241839,0.08
cg05242065,0.84
cg05242139,0.01
cg05242148,0.01
cg05242218,0.04
cg05242244,0.48
cg05242257,0.06
cg05242371,0.92
cg05242494,0.97
cg05242523,0.89
cg05242526,0.01
cg05242915,0.86
cg05242945,0.06
cg05243070,0.93
cg05243095,0.04
cg05243267,0.93
cg05243293,0.01
cg05243311,0.03
cg05243338,0.91
cg05243389,0.48
cg05243629,0.91
cg05243700,0.93
cg05243705,0.03
cg05243804,0.08
cg05243909,0.14
cg05244013,0.8
cg05244029,0.01
cg05244153,0.95
cg05244236,0.95
cg05244324,0.94
cg05244581,0.27
cg05244682,0.98
cg05244720,0.22
cg05244762,0.94
cg05244766,0.91
cg05244778,0.16
cg05244974,0.8
cg05245070,0.1
cg05245099,0.07
cg05245170,0.82
cg05245226,0.17
cg05245319,0.01
cg05245379,0.88
cg05245416,0.92
cg05245515,0.9
cg05245533,0.15
cg05245650,0.34
cg05245655,0.02
cg05245794,0.76
cg05245861,0.12
cg05246100,0.76
cg05246110,0.64
cg05246190,0.17
cg05246251,0.85
cg05246283,0.11
cg05246303,0.06
cg05246315,0.87
cg05246507,0.01
cg05246522,0.72
cg05246530,0.81
cg05246645,0.79
cg05246775,0.01
cg05246887,0.08
cg05246900,0.83
cg05247035,0.96
cg05247096,0.81
cg05247112,0.05
cg05247341,0.15
cg05247391,0.18
cg05247640,0.11
cg05247767,0.88
cg05247799,0.99
cg05247809,0.28
cg05247821,0.45
cg05247907,0.04
cg05248502,0.04
cg05248542,0.9
cg05248581,0.16
cg05248618,0.02
cg05248652,0.96
cg05248655,0.14
cg05248781,0.88
cg05248804,0.94
cg05248960,0.82
cg05249010,0.95
cg05249026,0.25
cg05249074,0.87
cg05249271,0.92
cg05249393,0.04
cg05249460,0.9
cg05249479,0.15
cg05249644,0.04
cg05250042,0.07
cg05250061,0.89
cg05250241,0.96
cg05250352,0.96
cg05250380,0.96
cg05250458,0.27
cg05250768,0.03
cg05250932,0.47
cg05250969,0.02
cg05251000,0.34
cg05251190,0.53
cg05251269,0.4
cg05251359,0.04
cg05251389,0.64
cg05251593,0.75
cg05251669,0.27
cg05251676,0.04
cg05251755,0.86
cg05251814,0.86
cg05251861,0.56
cg05251952,0.93
cg05252062,0.98
cg05252161,0.01
cg05252213,0.53
cg05252264,0.4
cg05252487,0.33
cg05252626,0.24
cg05252892,0.17
cg05252940,0.03
cg05253005,0.08
cg05253018,0.01
cg05253109,0.02
cg05253110,0.41
cg05253151,0.86
cg05253159,0.28
cg05253165,0.77
cg05253226,0.76
cg05253326,0.05
cg05253327,0.96
cg05253577,0.02
cg05253716,0.92
cg05253759,0.49
cg05254078,0.02
cg05254132,0.01
cg05254143,0.9
cg05254221,0.73
cg05254511,0.15
cg05254518,0.08
cg05254590,0.06
cg05254646,0.95
cg05254651,0.48
cg05254689,0.05
cg05254747,0.68
cg05254749,0.14
cg05254821,0.06
cg05254946,0.95
cg05255057,0.86
cg05255149,0.03
cg05255168,0.9
cg05255213,0.09
cg05255275,0.14
cg05255305,0.03
cg05255330,0.64
cg05255333,0.01
cg05255351,0.31
cg05255580,0.83
cg05255803,0.76
cg05255807,0.03
cg05255811,0.51
cg05255819,0.89
cg05255884,0.91
cg05255915,0.25
cg05255994,0.96
cg05256043,0.82
cg05256179,0.9
cg05256228,0.8
cg05256242,0.15
cg05256276,0.9
cg05256304,0.52
cg05256420,0.67
cg05256447,0.01
cg05256481,0.92
cg05256483,0.29
cg05256504,0.51
cg05256518,0.89
cg05256584,0.98
cg05256612,0.03
cg05256656,0.79
cg05256688,0.92
cg05256719,0.84
cg05256765,0.85
cg05256793,0.01
cg05256903,0.91
cg05256973,0.87
cg05257086,0.98
cg05257202,0.36
cg05257260,0.93
cg05257275,0.63
cg05257397,0.02
cg05257472,0.01
cg05257479,0.1
cg05257600,0.12
cg05257610,0.25
cg05257635,0.94
cg05257850,0.88
cg05258027,0.1
cg05258079,0.87
cg05258102,0.26
cg05258123,0.92
cg05258139,0.02
cg05258214,0.08
cg05258261,0.1
cg05258264,0.96
cg05258294,0.95
cg05258390,0.91
cg05258477,0.06
cg05258689,0.81
cg05258736,0.3
cg05258820,0.92
cg05258834,0.84
cg05258914,0.9
cg05258935,0.99
cg05259303,0.75
cg05259332,0.91
cg05259507,0.03
cg05259765,0.95
cg05259836,0.09
cg05259891,0.82
cg05259946,0.21
cg05260031,0.96
cg05260062,0.06
cg05260129,0.05
cg05260236,0.79
cg05260242,0.17
cg05260346,0.92
cg05260372,0.71
cg05260469,0.21
cg05260714,0.88
cg05260733,0.95
cg05260811,0.12
cg05260877,0.7
cg05260886,0.84
cg05260959,0.64
cg05260966,0.44
cg05261289,0.13
cg05261299,0.89
cg05261336,0.02
cg05261349,0.56
cg05261433,0.88
cg05261496,0.16
cg05261559,0.02
cg05261592,0.73
cg05261596,0.56
cg05261599,0.98
cg05261700,0.02
cg05261702,0.34
cg05261759,0.74
cg05261824,0.85
cg05261851,0.58
cg05261893,0.83
cg05262191,0.14
cg05262224,0.94
cg05262295,0.89
cg05262316,0.06
cg05262335,0.17
cg05262369,0.77
cg05262382,0.88
cg05262448,0.12
cg05262463,0.8
cg05262533,0.87
cg05262549,0.76
cg05262631,0.95
cg05262711,0.73
cg05262724,0.98
cg05262777,0.85
cg05262877,0.74
cg05263113,0.26
cg05263382,0.92
cg05263479,0.38
cg05263495,0.29
cg05263605,0.05
cg05263649,0.84
cg05263666,0.91
cg05263682,0.04
cg05263743,0.12
cg05263760,0.83
cg05263790,0.02
cg05263838,0.95
cg05264018,0.88
cg05264101,0.63
cg05264110,0.08
cg05264145,0.01
cg05264148,0.12
cg05264189,0.9
cg05264223,0.84
cg05264232,0.92
cg05264279,0.3
cg05264298,0.91
cg05264320,0.01
cg05264377,0.93
cg05264411,0.09
cg05264446,0.06
cg05264454,0.03
cg05264501,0.95
cg05264587,0.09
cg05264760,0.94
cg05264764,0.03
cg05264816,0.86
cg05264870,0.54
cg05264881,0.99
cg05264908,0.9
cg05265020,0.21
cg05265042,0.03
cg05265089,0.95
cg05265234,0.98
cg05265257,0.91
cg05265258,0.1
cg05265306,0.04
cg05265359,0.53
cg05265414,0.88
cg05265484,0.23
cg05265512,0.06
cg05265562,0.89
cg05265569,0.01
cg05265574,0.93
cg05265596,0.76
cg05265607,0.72
cg05265747,0.89
cg05265849,0.32
cg05265884,0.42
cg05266142,0.94
cg05266212,0.31
cg05266226,0.71
cg05266271,0.92
cg05266321,0.85
cg05266345,0.22
cg05266437,0.87
cg05266460,0.94
cg05266474,0.44
cg05266497,0.9
cg05266624,0.27
cg05266663,0.91
cg05266687,0.1
cg05266714,0.93
cg05266781,0.21
cg05266786,0.84
cg05266796,0.97
cg05266836,0.75
cg05267118,0.56
cg05267394,0.22
cg05267427,0.8
cg05267524,0.07
cg05267543,0.07
cg05267587,0.05
cg05267654,0.01
cg05267735,0.84
cg05267756,0.83
cg05267876,0.03
cg05267893,0.93
cg05267952,0.74
cg05267955,0.68
cg05268122,0.88
cg05268155,0.04
cg05268203,0.01
cg05268347,0.97
cg05268564,0.09
cg05268892,0.08
cg05268954,0.07
cg05269013,0.65
cg05269017,0.02
cg05269024,0.98
cg05269040,0.52
cg05269080,0.55
cg05269432,0.89
cg05269440,0.89
cg05269451,0.27
cg05269473,0.94
cg05269546,0.98
cg05269713,0.9
cg05269784,0.67
cg05269845,0.81
cg05269938,0.01
cg05270066,0.04
cg05270084,0.98
cg05270106,0.98
cg05270119,0.1
cg05270224,0.58
cg05270290,0.07
cg05270325,0.07
cg05270344,0.11
cg05270381,0.04
cg05270551,0.5
cg05270552,0.95
cg05270572,0.01
cg05270617,0.97
cg05270634,0.07
cg05270688,0.1
cg05270696,0.89
cg05270750,0.23
cg05270752,0.94
cg05270892,0.95
cg05270938,0.3
cg05271080,0.87
cg05271231,0.66
cg05271255,0.26
cg05271276,0.07
cg05271536,1.0
cg05271910,0.88
cg05272157,0.91
cg05272245,0.05
cg05272277,0.04
cg05272349,0.22
cg05272556,0.01
cg05272587,0.84
cg05272921,0.93
cg05272960,0.3
cg05273049,0.07
cg05273302,0.57
cg05273321,0.79
cg05273533,0.84
cg05273999,0.94
cg05274056,0.93
cg05274179,0.96
cg05274242,0.23
cg05274316,0.29
cg05274323,0.33
cg05274464,0.04
cg05274650,0.92
cg05274680,0.87
cg05274755,0.15
cg05274953,0.9
cg05275012,0.95
cg05275153,0.99
cg05275229,0.27
cg05275231,0.09
cg05275468,0.08
cg05275576,0.83
cg05275595,0.53
cg05275605,0.84
cg05275752,0.19
cg05275832,0.92
cg05275896,0.9
cg05276066,0.9
cg05276125,0.86
cg05276137,0.08
cg05276155,0.54
cg05276184,0.95
cg05276226,0.87
cg05276243,0.06
cg05276360,0.51
cg05276408,1.0
cg05276414,0.92
cg05276469,0.57
cg05276753,0.95
cg05277054,0.15
cg05277122,0.96
cg05277146,0.86
cg05277165,0.48
cg05277329,0.91
cg05277425,0.94
cg05277504,0.92
cg05277991,0.1
cg05278204,0.87
cg05278256,0.8
cg05278271,0.04
cg05278307,0.74
cg05278442,0.09
cg05278500,0.97
cg05278650,0.02
cg05278822,0.91
cg05278858,0.91
cg05279031,0.94
cg05279137,0.95
cg05279149,0.96
cg05279172,0.88
cg05279284,0.01
cg05279291,0.82
cg05279330,0.95
cg05279387,0.7
cg05279413,0.02
cg05279643,0.91
cg05279707,0.05
cg05279738,0.56
cg05279806,0.96
cg05279864,0.85
cg05279866,0.61
cg05279901,0.02
cg05280088,0.94
cg05280109,0.08
cg05280131,0.34
cg05280133,0.17
cg05280148,0.05
cg05280255,0.87
cg05280478,0.71
cg05280527,0.49
cg05280555,0.02
cg05280698,0.43
cg05280750,0.34
cg05280797,0.9
cg05280806,0.43
cg05280814,0.69
cg05280932,0.94
cg05281126,0.8
cg05281145,0.9
cg05281206,0.86
cg05281221,0.01
cg05281328,0.73
cg05281338,0.15
cg05281340,0.01
cg05281418,0.1
cg05281544,0.07
cg05281603,0.22
cg05281645,0.08
cg05281708,0.14
cg05281894,0.08
cg05282044,0.06
cg05282437,0.75
cg05282459,0.83
cg05282518,0.53
cg05282559,0.01
cg05282968,0.99
cg05283184,0.54
cg05283379,0.76
cg05283453,0.91
cg05283521,0.98
cg05283538,0.63
cg05283542,0.39
cg05283551,0.02
cg05283597,0.49
cg05283631,0.01
cg05283646,0.99
cg05283685,0.84
cg05283834,0.05
cg05284480,0.01
cg05284652,0.07
cg05284724,0.11
cg05284742,0.72
cg05284750,0.14
cg05284751,0.76
cg05284873,0.41
cg05284912,0.9
cg05284927,0.12
cg05285228,0.78
cg05285244,0.7
cg05285352,0.97
cg05285368,0.98
cg05285554,0.87
cg05285582,0.18
cg05285589,0.99
cg05285677,0.9
cg05285797,0.08
cg05285902,0.04
cg05286157,0.94
cg05286196,0.94
cg05286252,0.94
cg05286280,0.93
cg05286425,0.93
cg05286874,0.07
cg05287064,0.89
cg05287206,0.11
cg05287230,0.94
cg05287284,0.91
cg05287297,0.14
cg05287314,0.2
cg05287372,0.95
cg05287409,0.8
cg05287437,0.69
cg05287480,0.9
cg05287529,0.04
cg05287690,0.11
cg05287886,0.9
cg05287917,0.84
cg05288033,0.07
cg05288127,0.96
cg05288253,0.61
cg05288381,0.87
cg05288569,0.02
cg05288711,0.96
cg05288750,0.85
cg05288803,0.1
cg05288857,0.88
cg05289022,0.58
cg05289055,0.92
cg05289253,0.03
cg05289320,0.87
cg05289394,0.04
cg05289639,0.05
cg05289698,0.87
cg05289701,0.07
cg05289873,0.99
cg05289892,0.15
